codepoint,edition,sequence,commons_title,page,side,rotation,crop_x0,crop_x1,x,y,w,h,render_width,frame_top,pitch,kind,score,juan,radical,similarity,status
3D066,ccz,C-00097,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,21,right,0.442,959,1920,624,533,53,65,1920,510,84.02,headword,0.698,卷一上,4,0.972,approved
3D067,ccz,C-00098,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,21,right,0.442,959,1920,628,1599,53,101,1920,510,84.02,inline,0.991,卷一上,4,0.986,approved
3D068,ccz,C-00099,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,21,right,0.442,959,1920,371,530,57,72,1920,510,84.02,headword,0.989,卷一上,5,0.968,approved
3D069,ccz,C-00100,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,21,right,0.442,959,1920,117,693,53,82,1920,510,84.02,manual,1.0,卷一上,5,0.978,approved
3D06A,ccz,C-00101,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,21,right,0.442,959,1920,32,513,69,103,1920,510,84.02,headword,0.995,卷一上,5,0.93,approved
3D06B,ccz,C-00102,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,21,left,-0.359,0,959,696,505,59,98,1920,503,83.96,headword,0.999,卷一上,5,0.962,approved
3D001,ccz,C-00002,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,15,left,0.088,0,964,270,892,68,101,1920,508,84.96,recovered,0.0,卷一上,1,0.991,approved
3D00B,ccz,C-00011,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,right,-0.189,961,1920,119,515,57,99,1920,504,83.86,recovered,0.0,卷一上,2,0.949,approved
3D00F,ccz,C-00015,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,left,-0.102,0,961,862,528,59,89,1920,515,83.72,recovered,0.0,卷一上,2,0.986,approved
3D06D,ccz,C-00103,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,21,left,-0.359,0,959,448,520,51,76,1920,503,83.96,headword,0.995,卷一上,6,0.969,approved
3D06E,ccz,C-00104,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,21,left,-0.359,0,959,187,1602,63,95,1920,503,83.96,inline,0.986,卷一上,6,0.959,approved
3D06F,ccz,C-00105,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,22,right,0.659,965,1920,789,505,65,107,1920,502,83.74,headword,1.0,卷一上,6,0.955,approved
3D070,ccz,C-00106,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,22,right,0.659,965,1920,705,505,64,98,1920,502,83.74,headword,1.0,卷一上,6,0.972,approved
3D071,ccz,C-00107,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,22,right,0.659,965,1920,621,511,70,110,1920,502,83.74,inline,0.916,卷一上,6,0.923,approved
3D072,ccz,C-00108,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,22,right,0.659,965,1920,534,507,68,101,1920,502,83.74,headword,1.0,卷一上,6,0.977,approved
3D073,ccz,C-00109,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,22,right,0.659,965,1920,455,509,68,101,1920,502,83.74,headword,0.997,卷一上,6,0.946,approved
3D074,ccz,C-00110,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,22,right,0.659,965,1920,373,510,65,100,1920,502,83.74,headword,0.997,卷一上,6,0.917,approved
3D075,ccz,C-00111,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,22,right,0.659,965,1920,286,515,66,92,1920,502,83.74,headword,0.999,卷一上,6,0.957,approved
3D076,ccz,C-00112,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,22,right,0.659,965,1920,35,506,60,108,1920,502,83.74,headword,1.0,卷一上,6,0.945,approved
3D077,ccz,C-00113,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,22,left,-0.522,0,965,868,519,71,91,1920,505,84.14,headword,0.344,卷一上,6,0.637,approved
3D078,ccz,C-00114,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,22,left,-0.522,0,965,791,514,65,101,1920,505,84.14,headword,0.999,卷一上,6,0.946,approved
3D079,ccz,C-00115,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,22,left,-0.522,0,965,711,526,61,68,1920,505,84.14,headword,0.969,卷一上,6,0.938,approved
3D07B,ccz,C-00117,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,22,left,-0.522,0,965,534,508,67,107,1920,505,84.14,inline,0.976,卷一上,6,0.916,approved
3D07C,ccz,C-00118,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,22,left,-0.522,0,965,528,1108,73,103,1920,505,84.14,inline,0.944,卷一上,6,0.893,approved
3D07D,ccz,C-00119,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,22,left,-0.522,0,965,536,1433,61,103,1920,505,84.14,inline,0.995,卷一上,6,0.97,approved
3D07F,ccz,C-00121,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,22,left,-0.522,0,965,370,512,64,98,1920,505,84.14,headword,0.997,卷一上,6,0.876,approved
3D080,ccz,C-00122,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,22,left,-0.522,0,965,285,512,67,100,1920,505,84.14,headword,1.0,卷一上,6,0.966,approved
3D081,ccz,C-00123,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,22,left,-0.522,0,965,202,513,64,100,1920,505,84.14,headword,1.0,卷一上,6,0.983,approved
